user_id,self_blame,acceptance,rumination,positive_refocusing,refocus_on_planning,positive_reappraisal,putting_into_perspective,catastrophizing,other_blame
3334247770,8,15,16,12,19,20,13,8,4
3294886377,11,11,20,14,17,16,6,7,10
3487119790,12,13,12,8,11,12,12,10,10
3346121179,15,18,17,10,18,11,15,12,11
3703107268,7,11,13,8,14,13,14,6,5
3208909600,15,14,16,8,16,14,8,10,12
3317719173,14,13,14,8,13,5,13,6,4
3920062595,11,15,14,7,18,20,12,9,9
3337769377,15,15,19,9,17,15,16,8,11
3278582193,12,10,16,10,11,15,13,6,7
3703293103,12,13,14,11,16,19,13,4,8
3331208683,8,14,19,16,17,19,15,11,8
3444258212,9,17,17,13,18,18,14,8,4
3890065938,13,18,11,4,7,7,10,6,6
3469730627,13,10,16,9,20,16,5,7,7
3311128391,9,15,16,13,19,18,11,7,8
3270624644,14,10,20,16,20,17,13,8,10
3280632529,13,9,12,4,10,7,5,5,8
3313382094,12,10,19,6,20,11,10,11,13
3460591283,17,20,16,4,13,13,15,8,11
3809075395,12,16,14,8,15,12,17,14,15
3332440775,9,12,14,6,16,12,10,11,8
3398964382,5,10,13,14,12,15,11,8,4
3348106800,9,9,14,8,16,12,10,6,8
3469464166,13,11,17,5,14,16,9,11,10
3392465292,8,9,16,8,14,12,16,10,10
3335607912,15,8,15,8,11,8,9,13,8
3669301160,10,13,16,8,17,14,9,6,10
3314455802,5,6,4,14,16,10,13,6,4
3336846971,11,10,16,8,16,17,8,7,9
3296113480,10,11,11,8,15,16,16,7,7
3921981520,14,11,20,14,12,13,14,12,11
3334741408,11,11,14,8,10,12,13,13,6
3665355105,11,6,16,12,17,13,15,13,7
3420798804,16,11,14,8,12,12,19,5,9
3383061603,8,10,12,12,15,17,13,8,4
3662125608,8,8,10,7,17,9,8,7,8
3392736399,7,7,5,8,9,11,9,7,8
3493224825,9,10,9,10,20,20,12,4,9
3246292649,18,15,20,14,17,18,17,16,11
3665244090,11,12,17,14,18,17,13,6,6
3389126365,15,12,15,12,16,14,20,9,13
3938867612,8,20,16,4,7,9,16,12,4
3407230127,14,10,18,6,20,18,12,6,11
3895730674,13,18,20,11,16,18,8,11,17
3663738920,13,9,18,8,11,13,10,12,12
3888185906,9,14,16,13,11,11,12,9,7
3395927320,10,13,13,16,18,14,16,10,8
3491070201,9,11,16,13,19,18,15,7,6
3334297641,6,12,9,9,12,14,11,7,5
3925598264,12,14,15,8,13,12,13,7,9
3331478533,13,11,11,11,8,8,12,12,13
3888281971,13,14,11,5,19,17,14,6,8
3421895411,8,7,13,9,16,16,14,4,5
3467014707,11,15,18,8,16,13,11,16,12
3277379787,9,10,12,4,18,14,8,9,10
3920884364,13,10,15,11,13,14,15,10,9
3662258943,11,12,20,12,20,19,19,8,9
3311506647,10,15,11,8,13,16,16,6,9
3928102467,11,12,11,12,16,16,16,8,8
3348921243,4,4,4,6,12,12,12,6,4
3423315515,8,11,7,10,19,15,11,5,5
3475648095,15,12,15,9,13,8,13,10,8
3318207859,11,10,15,10,18,17,18,12,11
3394341908,12,11,12,9,15,15,13,5,11
3490815665,8,8,10,8,16,12,9,10,9
3271273161,8,10,14,12,18,16,14,7,10
3493727344,8,12,10,7,16,12,11,5,7
3492432569,13,14,16,8,13,12,12,12,8
3311815277,20,13,20,4,16,10,8,17,4
3662895706,15,8,17,8,12,12,11,14,9
3669722811,11,18,19,8,17,19,14,6,10
3806823362,8,11,8,12,15,17,18,10,11
3703258744,12,8,15,4,11,9,6,4,6
3385930632,9,12,12,12,8,9,13,10,12
3467474349,12,9,11,5,14,16,15,10,12
3668615349,5,15,17,8,18,18,14,4,5
3493200977,10,13,12,10,14,13,12,5,6
3779569933,12,10,10,8,14,13,14,4,6
3887744678,19,10,20,8,16,19,14,10,5
3383928947,11,11,13,14,20,12,14,8,9
3472369691,16,15,20,8,15,11,10,12,7
3663995281,10,10,14,12,16,13,9,6,9
3313450012,15,9,18,9,14,10,13,8,10
3349104292,8,15,15,4,17,18,14,5,7
3895555996,10,9,6,6,12,12,13,4,6
3883816051,8,12,17,15,16,19,18,9,12
3477588121,6,11,4,4,5,4,5,4,4
3421018235,14,6,18,9,18,20,7,6,13
3280004109,9,10,8,10,16,15,17,6,9
3289189898,13,17,9,8,20,14,9,12,8
3428948629,12,12,20,9,15,17,16,11,11
3458886355,11,14,11,5,14,14,13,7,8
3881466599,11,13,13,6,12,4,12,13,16
3463723465,14,7,18,4,16,12,4,12,14
3342410340,11,13,12,8,14,11,15,7,8
3808941373,12,14,15,13,16,17,11,9,10
3314389060,9,11,11,9,16,11,12,11,9
3494236417,10,11,16,13,16,18,16,11,9
3336861167,11,12,16,8,12,14,16,8,8
3339582765,10,15,13,8,18,16,12,12,4
3391467959,13,6,13,8,15,15,10,14,14
3891217212,8,13,8,7,5,8,7,10,5
3505065648,11,13,16,14,17,17,17,9,10
3921884140,7,4,4,8,19,13,12,6,9
3483400286,10,13,15,9,13,13,12,8,7
3313233935,9,11,13,11,17,19,17,7,4
3664300311,9,13,15,9,16,12,13,7,10
3347443867,13,19,16,4,18,14,13,13,9
3247822380,15,17,18,11,20,18,15,10,15
3319425650,16,12,20,12,16,16,12,12,5
3465959424,9,14,12,6,16,16,16,8,6
3459372766,10,9,15,8,16,15,8,10,11
3334364444,11,16,20,11,16,16,12,10,8
3423734900,18,11,17,8,18,13,14,8,10
3386008212,16,10,16,8,14,8,8,10,8
3487202110,14,14,17,8,16,15,19,7,6
3891205133,12,14,20,4,16,11,9,10,10
3921625402,12,15,14,6,13,11,7,5,7
3450660188,8,13,14,13,16,16,18,7,7
3405320767,11,13,16,16,19,14,17,8,8
34601046526,11,13,16,14,16,16,12,8,11
3285486203,10,13,13,10,18,19,19,6,7
3382353432,7,12,8,7,10,12,12,5,5
3398621330,14,13,14,10,11,15,16,9,9
3347076857,13,15,10,10,19,20,19,7,8
3493865607,9,9,12,14,16,13,17,6,7
3420547059,16,10,20,4,12,11,4,19,16
3339880271,8,12,12,16,20,20,20,4,12
3337222747,18,18,20,4,9,12,7,20,6
3896211241,6,6,6,7,13,14,13,5,8
3667000898,12,17,16,10,19,18,13,7,14
3391627654,13,11,16,10,16,10,14,6,8
3406882472,10,11,18,8,16,18,13,6,5
3338029881,9,13,15,9,15,14,14,12,11
3931636103,8,16,11,10,16,16,16,4,8
3426549445,14,12,20,9,17,16,12,15,12
3463775011,11,11,15,13,14,17,12,9,11
3807607123,10,12,16,12,19,19,19,9,15
3927302099,14,11,14,8,12,16,6,6,7
3771015565,11,11,15,8,13,13,18,8,5
3497824506,13,13,15,9,16,12,17,10,11
3279312977,10,10,12,13,12,9,11,6,8
3388996332,6,14,20,12,19,17,10,15,19
3272161067,15,11,14,6,11,6,8,12,9
3316198240,7,8,9,9,10,10,12,4,6
3358378894,12,14,15,7,13,8,10,7,8
3382881255,11,18,19,16,17,15,13,13,7
3453934331,11,12,15,4,11,10,7,13,10
3208693225,12,11,14,8,17,20,13,14,12
3703403724,11,12,16,11,18,17,16,12,8
3470115511,13,12,14,20,12,4,20,8,9
3401031360,7,11,13,11,15,17,14,10,9
3661166007,11,11,12,12,13,13,12,8,9
3920921922,9,10,13,8,17,17,13,4,5
3335443937,14,10,16,11,10,13,13,10,11
3312571418,15,14,14,17,20,18,17,6,5
4389943231,19,13,19,11,9,16,13,7,7
3492366988,15,12,9,8,18,13,19,9,8
3382161024,16,10,16,10,18,19,15,10,10
3347892623,14,20,20,8,17,16,14,12,12
3427335142,8,8,6,11,16,16,16,4,5
3421843835,7,11,10,16,19,16,16,4,4
3802426721,15,15,14,8,13,16,16,5,8
3451263546,7,7,15,5,9,16,11,7,8
3911072456,8,16,12,11,13,11,11,9,13
3274685227,12,15,18,12,16,20,18,4,6
3913468055,13,13,14,8,16,12,12,11,10
3426894007,8,5,18,8,13,13,8,8,13
3317606566,13,19,15,6,12,11,7,13,15
3459300091,10,16,12,8,16,12,12,9,8
3396144039,11,16,9,16,16,18,17,5,8
3662879175,8,13,15,14,20,18,13,6,7
3318419640,9,15,18,11,18,20,13,10,13
3387752052,16,12,14,10,11,10,12,7,6
3716383664,14,10,13,10,16,14,13,8,5
3396105812,11,11,19,8,15,14,8,12,6
3479146532,6,14,15,12,16,13,14,10,6
3703103013,14,13,11,6,10,11,15,9,6
3349010634,9,13,6,5,18,18,16,6,5
3661375646,10,17,11,20,19,20,20,5,8
3401961300,12,13,14,11,10,15,19,6,4
3283564346,15,13,17,9,16,18,16,11,14
3483232737,15,19,20,13,14,16,9,4,8
3772765464,4,10,8,4,11,13,12,13,13
3456115892,19,16,17,15,18,15,19,4,4
3428976733,15,16,16,8,14,16,15,11,11
3394466675,9,10,13,16,16,20,20,8,8
3311032316,19,13,15,10,11,9,12,11,8
3478294460,10,15,16,4,10,9,15,8,12
3395963552,16,5,13,6,18,8,5,12,14
3333672280,18,14,20,6,18,10,14,9,8
3664548042,8,12,15,8,12,14,13,9,8
3282753348,8,13,14,16,13,14,12,8,14
3420200692,17,10,18,4,20,18,13,8,9
3397350077,8,14,10,16,17,17,12,5,6
3483195353,15,15,13,4,8,4,12,9,9
3336930797,13,13,16,16,19,18,14,9,12
3317545421,9,12,14,5,15,11,14,7,5
3467559184,10,12,14,8,15,12,9,9,11
3342177251,15,8,18,9,19,17,16,7,9
3334971564,12,14,16,5,9,9,9,15,11
3311919255,9,14,15,15,16,16,16,5,8
3489927284,12,11,17,12,16,16,16,10,13
3458983574,7,9,20,16,16,17,12,8,6
3337487200,5,8,13,13,18,20,19,11,6
3892305104,16,9,16,8,12,9,12,13,7
3341420106,8,6,16,13,12,11,9,8,8
3497763400,10,13,12,8,16,12,16,8,8
33783670400,10,17,11,16,13,14,12,4,7
3925461159,17,18,19,6,17,8,13,20,17
3401662999,9,10,11,13,18,16,20,12,8
3403943604,10,13,13,4,19,14,16,8,8
3806950650,8,11,13,11,14,14,15,8,13
3883746006,9,10,14,20,20,18,19,10,7
3473918493,8,10,15,8,14,13,10,9,9
3485956383,12,13,11,9,16,15,10,9,13
3401270582,8,14,9,16,19,14,15,9,10
3478840406,11,13,15,8,15,9,10,7,7
3920224683,12,15,15,9,10,9,15,8,12
3318067046,10,11,10,12,16,16,16,9,5
3387517461,9,13,4,11,20,20,20,4,6
3667272818,15,14,13,12,18,13,12,7,4
3339796982,15,15,20,16,19,17,10,10,10
3774219750,8,12,15,8,12,12,8,12,14
3402664341,15,10,18,12,16,12,15,7,9
3343693017,12,8,16,8,13,9,8,11,13
3427812776,15,10,16,10,17,16,12,6,6
3311514507,17,12,19,8,9,11,6,13,13
3663707404,15,11,19,8,16,12,13,10,10
3347117521,9,13,9,5,14,10,11,9,9
3314994466,8,11,12,16,15,17,16,6,8
3334542104,13,11,18,17,20,20,17,7,4
3452198846,6,7,11,7,14,14,15,4,5
3384230549,14,13,15,8,14,14,6,8,10
3935500366,11,13,13,8,16,16,12,7,14
3664904129,19,13,19,14,20,18,14,11,8
3333087407,5,12,16,14,20,18,20,6,5
3388833022,10,12,11,11,10,12,13,12,10
3486981778,11,14,16,19,20,18,13,9,10
3313224759,11,14,19,10,8,14,8,12,15
