user_id,nates_score
3334247770,30
3294886377,12
3487119790,16
3346121179,22
3703107268,14
3208909600,17
3317719173,21
3920062595,16
3337769377,8
3278582193,15
3703293103,19
3331208683,28
3444258212,22
3890065938,7
3469730627,15
3311128391,16
3270624644,21
3280632529,14
3313382094,14
3460591283,8
3809075395,25
3332440775,20
3398964382,29
3348106800,14
3469464166,23
3392465292,16
3335607912,9
3669301160,26
3314455802,13
3336846971,23
3296113480,18
3921981520,8
3334741408,31
3665355105,13
3420798804,15
3383061603,17
3662125608,8
3392736399,12
3493224825,31
3246292649,13
3665244090,17
3389126365,10
3938867612,14
3407230127,15
3895730674,13
3663738920,9
3888185906,15
3395927320,10
3491070201,18
3334297641,18
3925598264,9
3331478533,8
3888281971,24
3421895411,25
3467014707,8
3277379787,23
3920884364,23
3662258943,14
3311506647,20
3928102467,22
3348921243,13
3423315515,20
3475648095,21
3318207859,18
3394341908,17
3490815665,18
3271273161,19
3493727344,22
3492432569,7
3311815277,8
3662895706,13
3669722811,12
3806823362,25
3703258744,16
3385930632,13
3467474349,20
3668615349,25
3493200977,22
3779569933,10
3887744678,10
3383928947,17
3472369691,12
3663995281,25
3313450012,9
3349104292,18
3895555996,19
3883816051,12
3477588121,29
3421018235,9
3280004109,24
3289189898,20
3428948629,15
3458886355,23
3881466599,17
3463723465,7
3342410340,15
3808941373,25
3314389060,24
3494236417,27
3336861167,9
3339582765,17
3391467959,13
3891217212,21
3505065648,14
3921884140,26
3483400286,19
3313233935,20
3664300311,20
3347443867,12
3247822380,17
3319425650,14
3465959424,26
3459372766,17
3334364444,15
3423734900,17
3386008212,15
3487202110,15
3891205133,14
3921625402,14
3450660188,23
3405320767,24
34601046526,18
3285486203,27
3382353432,23
3398621330,19
3347076857,15
3493865607,20
3420547059,16
3339880271,14
3337222747,8
3896211241,23
3667000898,21
3391627654,15
3406882472,17
3338029881,12
3931636103,26
3426549445,21
3463775011,17
3807607123,13
3927302099,11
3771015565,15
3497824506,9
3279312977,22
3388996332,20
3272161067,17
3316198240,17
3358378894,17
3382881255,11
3453934331,14
3208693225,24
3703403724,29
3470115511,10
3401031360,12
3661166007,16
3920921922,19
3335443937,12
3312571418,12
4389943231,14
3492366988,9
3382161024,21
3347892623,11
3427335142,20
3421843835,27
3802426721,7
3451263546,17
3911072456,26
3274685227,23
3913468055,10
3426894007,13
3317606566,14
3459300091,11
3396144039,21
3662879175,20
3318419640,24
3387752052,19
3716383664,14
3396105812,18
3479146532,17
3703103013,15
3349010634,7
3661375646,18
3401961300,13
3283564346,20
3483232737,9
3772765464,26
3456115892,13
3428976733,11
3394466675,26
3311032316,15
3478294460,11
3395963552,20
3333672280,10
3664548042,7
3282753348,10
3420200692,14
3397350077,27
3483195353,8
3336930797,17
3317545421,16
3467559184,16
3342177251,14
3334971564,13
3311919255,14
3489927284,15
3458983574,17
3337487200,29
3892305104,9
3341420106,16
3497763400,14
33783670400,19
3925461159,9
3401662999,17
3403943604,11
3806950650,20
3883746006,29
3473918493,14
3485956383,16
3401270582,26
3478840406,16
3920224683,16
3318067046,25
3387517461,16
3667272818,21
3339796982,29
3774219750,17
3402664341,9
3343693017,9
3427812776,22
3311514507,12
3663707404,20
3347117521,15
3314994466,19
3334542104,13
3452198846,16
3384230549,11
3935500366,24
3664904129,21
3333087407,21
3388833022,16
3486981778,25
3313224759,12
